Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"August, 2008 ",Report Creation Timestamp (EPT):, 07/29/2010 05:21:53 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
08/08/2008 12,08/08/2008 16,0.43,94514.338,5743.8,2469.85,5743.8
08/08/2008 13,08/08/2008 17,0.43,96334.405,5818.9,2502.15,5818.9
08/08/2008 14,08/08/2008 18,0.43,98212.381,5838.9,2510.76,5838.9
08/08/2008 15,08/08/2008 19,0.43,99542.552,5778.6,2484.8,5778.6
08/08/2008 16,08/08/2008 20,0.5,99906.354,5779,2889.5,5779
08/08/2008 17,08/08/2008 21,0.5,99542.762,5838.8,2919.4,5838.8
08/08/2008 18,08/08/2008 22,0.43,98146.707,5774.4,2482.98,5774.4
08/08/2008 19,08/08/2008 23,0.43,95094.288,5764.6,2478.81,5764.6
08/08/2008 20,08/09/2008 00,0.25,90652.959,5741.9,1435.63,5741.9
08/08/2008 21,08/09/2008 01,0.4,88265.036,5719.3,2287.72,5719.3
08/08/2008 22,08/09/2008 02,0.38,86592.121,5724.4,2175.26,5724.4
08/08/2008 23,08/09/2008 03,0.25,81035.172,5602.9,1400.89,5602.9
08/08/2008 24,08/09/2008 04,0.25,74551.925,5645.7,1411.59,5645.7
08/09/2008 01,08/09/2008 05,0.25,68558.985,4986.7,1246.89,4986.7
08/09/2008 02,08/09/2008 06,0.25,64260.52,5106.3,1276.67,5106.3
08/09/2008 03,08/09/2008 07,0.25,61468.619,5105.8,1276.66,5105.8
08/09/2008 04,08/09/2008 08,0.25,59604.639,5106.6,1276.88,5106.6
08/09/2008 05,08/09/2008 09,0.25,59017.457,5105.4,1276.56,5105.4
08/09/2008 06,08/09/2008 10,0.25,59561.652,5106.7,1276.88,5106.7
08/09/2008 07,08/09/2008 11,0.25,60183.807,5083.4,1271.07,5083.4
08/09/2008 08,08/09/2008 12,0.25,63046.889,5094,1273.68,5094
08/09/2008 09,08/09/2008 13,0.25,68423.022,5087.9,1272.16,5087.9
08/09/2008 10,08/09/2008 14,0.25,73405.478,5100.8,1275.42,5100.8
08/09/2008 11,08/09/2008 15,0.25,77526.955,5125.5,1281.48,5125.5
08/09/2008 12,08/09/2008 16,0.25,80482.697,5124.5,1281.26,5124.5
08/09/2008 13,08/09/2008 17,0.43,82509.559,5096,2191.31,5096
08/09/2008 14,08/09/2008 18,0.43,84053.126,5168.1,2222.32,5168.1
08/09/2008 15,08/09/2008 19,0.43,85411.921,5173.2,2224.49,5173.2
08/09/2008 16,08/09/2008 20,0.43,86747.848,5169.2,2222.78,5169.2
08/09/2008 17,08/09/2008 21,0.43,87974.839,5169,2222.69,5169
08/09/2008 18,08/09/2008 22,0.44,88380.738,5169.2,2274.48,5169.2
