Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"January, 2009 ",Report Creation Timestamp (EPT):, 07/06/2010 07:09:36 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
01/10/2009 19,01/11/2009 00,0.1,89971.209,5361.5,536.15,5361.5
01/10/2009 20,01/11/2009 01,0.1,88424.384,5361.4,536.14,5361.4
01/10/2009 21,01/11/2009 02,0.1,86724.211,5361.4,536.14,5361.4
01/10/2009 22,01/11/2009 03,0.1,83862.946,5361.4,536.14,5361.4
01/10/2009 23,01/11/2009 04,0.09,79886.333,5324,479.18,5324
01/10/2009 24,01/11/2009 05,0.09,75570.015,5241.3,471.75,5241.3
01/11/2009 01,01/11/2009 06,0.03,71760.426,5452.9,163.61,5452.9
01/11/2009 02,01/11/2009 07,0.03,69236.884,5452.6,163.62,5452.6
01/11/2009 03,01/11/2009 08,0.03,67982.621,5472.1,164.19,5472.1
01/11/2009 04,01/11/2009 09,0,67295.467,5481.8,0,5481.8
01/11/2009 05,01/11/2009 10,0,67374.011,5481.1,0,5481.1
01/11/2009 06,01/11/2009 11,0,68683.353,5480.9,0,5480.9
01/11/2009 07,01/11/2009 12,0.03,71084.703,5480.1,164.43,5480.1
01/11/2009 08,01/11/2009 13,0.09,73948.586,5480,493.25,5480
01/11/2009 09,01/11/2009 14,0.09,76846.493,5474.1,492.71,5474.1
01/11/2009 10,01/11/2009 15,0.09,79692.076,5479.5,493.18,5479.5
01/11/2009 11,01/11/2009 16,0.09,80912.679,5485.5,493.71,5485.5
01/11/2009 12,01/11/2009 17,0.09,81130.711,5485.5,493.73,5485.5
01/11/2009 13,01/11/2009 18,0.09,81208.299,5444.5,489.97,5444.5
01/11/2009 14,01/11/2009 19,0.09,80793.619,5444.5,489.99,5444.5
01/11/2009 15,01/11/2009 20,0.09,80139.068,5444.6,490.03,5444.6
01/11/2009 16,01/11/2009 21,0.09,80533.676,5444.6,490.03,5444.6
01/11/2009 17,01/11/2009 22,0.09,83309.729,5407.6,486.7,5407.6
01/11/2009 18,01/11/2009 23,0.1,89436.397,5445.1,544.51,5445.1
01/11/2009 19,01/12/2009 00,0.1,91945.018,5445.2,544.52,5445.2
01/11/2009 20,01/12/2009 01,0.1,91501.509,5444.6,544.46,5444.6
01/11/2009 21,01/12/2009 02,0.1,90630.889,5444.9,544.49,5444.9
01/11/2009 22,01/12/2009 03,0.09,87804.133,5444.2,489.99,5444.2
01/11/2009 23,01/12/2009 04,0.09,83638.379,5439,489.54,5439
01/11/2009 24,01/12/2009 05,0.03,79379.973,5478.1,164.38,5478.1
01/12/2009 01,01/12/2009 06,0.09,76147.127,5544.5,499.02,5544.5
01/12/2009 02,01/12/2009 07,0.09,74716.879,5527.5,497.48,5527.5
01/12/2009 03,01/12/2009 08,0.09,74217.406,5499,494.93,5499
01/12/2009 04,01/12/2009 09,0.09,74560.801,5544.3,499.03,5544.3
01/12/2009 05,01/12/2009 10,0.09,76429.39,5651.7,508.71,5651.7
01/12/2009 06,01/12/2009 11,0.09,81847.501,5755.6,518.02,5755.6
01/12/2009 07,01/12/2009 12,0.1,90922.423,5801.1,580.11,5801.1
01/12/2009 08,01/12/2009 13,0.1,96422.261,5801.3,580.13,5801.3
01/12/2009 09,01/12/2009 14,0.1,96153.591,5801.1,580.11,5801.1
01/12/2009 10,01/12/2009 15,0.1,94746.15,5796.7,579.67,5796.7
01/12/2009 11,01/12/2009 16,0.09,93464.11,5797.4,521.81,5797.4
01/12/2009 12,01/12/2009 17,0.09,91925.438,5486.7,493.84,5486.7
01/12/2009 13,01/12/2009 18,0.09,90962.8,5496.1,494.68,5496.1
01/12/2009 14,01/12/2009 19,0.09,89673.984,5498,494.84,5498
01/12/2009 15,01/12/2009 20,0,88682.224,5571.9,0,5571.9
01/12/2009 16,01/12/2009 21,0,88413.097,5572,0,5572
01/12/2009 17,01/12/2009 22,0.09,90598.86,5600.2,504.05,5600.2
01/12/2009 18,01/12/2009 23,0.1,96839.668,5655.9,565.59,5655.9
01/12/2009 19,01/13/2009 00,0.1,99547.913,5656.1,565.61,5656.1
01/12/2009 20,01/13/2009 01,0.1,98856.479,5651.1,565.11,5651.1
01/12/2009 21,01/13/2009 02,0.09,97384.279,5649,508.36,5649
01/12/2009 22,01/13/2009 03,0.09,94030.829,5806.1,522.57,5806.1
01/12/2009 23,01/13/2009 04,0.09,88683.252,5793.5,521.43,5793.5
01/12/2009 24,01/13/2009 05,0.09,83326.505,5621.6,505.96,5621.6
01/13/2009 01,01/13/2009 06,0.09,79076.042,5807.8,522.72,5807.8
01/13/2009 02,01/13/2009 07,0.03,77181.035,5902.2,177.09,5902.2
01/13/2009 03,01/13/2009 08,0.03,76660.663,5894.4,176.88,5894.4
01/13/2009 04,01/13/2009 09,0.03,76813.113,5894.8,176.85,5894.8
01/13/2009 05,01/13/2009 10,0.08,78811.555,5872.5,469.8,5872.5
01/13/2009 06,01/13/2009 11,0.09,83974.038,5921.8,532.97,5921.8
01/13/2009 07,01/13/2009 12,0.1,92696.842,5922.4,592.24,5922.4
01/13/2009 08,01/13/2009 13,0.1,97959.941,5834.7,583.47,5834.7
01/13/2009 09,01/13/2009 14,0.1,97396.604,5851.4,585.14,5851.4
01/13/2009 10,01/13/2009 15,0.09,96242.248,5580.1,502.2,5580.1
01/13/2009 11,01/13/2009 16,0.09,95309.434,5598.9,503.91,5598.9
01/13/2009 12,01/13/2009 17,0.08,94113.597,5618.2,449.46,5618.2
01/13/2009 13,01/13/2009 18,0.03,92968.552,5693.7,170.86,5693.7
01/13/2009 14,01/13/2009 19,0,92137.622,5698.7,0,5698.7
01/13/2009 15,01/13/2009 20,0,91374.75,5699,0,5699
01/13/2009 16,01/13/2009 21,0,91244.138,5559.4,0,5559.4
01/13/2009 17,01/13/2009 22,0.09,93186.213,5541.6,498.77,5541.6
01/13/2009 18,01/13/2009 23,0.1,98275.816,5863.8,586.38,5863.8
01/13/2009 19,01/14/2009 00,0.1,100772.945,5865.4,586.54,5865.4
01/13/2009 20,01/14/2009 01,0.1,100210.632,5909,590.9,5909
01/13/2009 21,01/14/2009 02,0.1,98378.266,5909.6,590.96,5909.6
01/13/2009 22,01/14/2009 03,0.09,94879.828,5844.3,526,5844.3
01/13/2009 23,01/14/2009 04,0.08,89876.308,5832.2,466.58,5832.2
01/13/2009 24,01/14/2009 05,0.03,84513.638,5832.1,174.99,5832.1
01/14/2009 01,01/14/2009 06,0.1,80940.216,5698.2,569.82,5698.2
01/14/2009 02,01/14/2009 07,0.1,79446.343,5794,579.4,5794
01/14/2009 03,01/14/2009 08,0.1,79364.202,5793.4,579.34,5793.4
01/14/2009 04,01/14/2009 09,0.1,80391.931,5794.3,579.43,5794.3
01/14/2009 05,01/14/2009 10,0.1,82716.143,5883.7,588.37,5883.7
01/14/2009 06,01/14/2009 11,0.09,88217.506,5847,526.27,5847
01/14/2009 07,01/14/2009 12,0.1,97541.017,5866.5,586.65,5866.5
01/14/2009 08,01/14/2009 13,0.1,102768.416,5950,595,5950
01/14/2009 09,01/14/2009 14,0.1,102048.498,5879.2,587.92,5879.2
01/14/2009 10,01/14/2009 15,0.1,100769.459,5910,591,5910
01/14/2009 11,01/14/2009 16,0.1,99837.004,5910.4,591.04,5910.4
01/14/2009 12,01/14/2009 17,0.09,98716.538,5864.5,527.8,5864.5
01/14/2009 13,01/14/2009 18,0.09,97433.626,5818.2,523.62,5818.2
01/14/2009 14,01/14/2009 19,0.09,96341.133,5817.9,523.65,5817.9
01/14/2009 15,01/14/2009 20,0.09,95308.706,5859.1,527.33,5859.1
01/14/2009 16,01/14/2009 21,0.09,95114.818,5859,527.33,5859
