Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"November, 2008 ",Report Creation Timestamp (EPT):, 08/03/2010 02:49:46 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
11/08/2008 21,11/09/2008 02,0.1,72229.267,4270.2,427.02,4270.2
11/08/2008 22,11/09/2008 03,0.1,69793.796,4228.1,422.81,4228.1
11/08/2008 23,11/09/2008 04,0.1,66506.956,4278.1,427.81,4278.1
11/08/2008 24,11/09/2008 05,0.09,62635.56,4168.3,375.19,4168.3
11/09/2008 01,11/09/2008 06,0,59099.989,4317.8,0,4317.8
11/09/2008 02,11/09/2008 07,0,57013.427,4384.2,0,4384.2
11/09/2008 03,11/09/2008 08,0,55874.405,4386.4,0,4386.4
11/09/2008 04,11/09/2008 09,0,55500.473,4387.2,0,4387.2
11/09/2008 05,11/09/2008 10,0,55679.565,4388.2,0,4388.2
11/09/2008 06,11/09/2008 11,0,57141.195,4379,0,4379
11/09/2008 07,11/09/2008 12,0,59298.785,4369.7,0,4369.7
11/09/2008 08,11/09/2008 13,0.09,61828.294,4310.5,387.97,4310.5
11/09/2008 09,11/09/2008 14,0.1,64663.161,4317.1,431.71,4317.1
11/09/2008 10,11/09/2008 15,0.1,66755.248,4297.7,429.77,4297.7
11/09/2008 11,11/09/2008 16,0.1,67442.494,4282.7,428.27,4282.7
11/09/2008 12,11/09/2008 17,0.1,67745.87,4345.2,434.52,4345.2
11/09/2008 13,11/09/2008 18,0.1,68156.476,4351.7,435.17,4351.7
11/09/2008 14,11/09/2008 19,0.1,68039.07,4305.8,430.58,4305.8
11/09/2008 15,11/09/2008 20,0.09,67796.339,4275.8,384.82,4275.8
11/09/2008 16,11/09/2008 21,0.08,68284.768,4203.5,336.28,4203.5
11/09/2008 17,11/09/2008 22,0.1,70677.514,4193.5,419.35,4193.5
11/09/2008 18,11/09/2008 23,0.1,76641.695,4264,426.4,4264
11/09/2008 19,11/10/2008 00,0.22,78263.796,4328.1,952.18,4328.1
11/09/2008 20,11/10/2008 01,0.1,77653.657,4369.2,436.92,4369.2
11/09/2008 21,11/10/2008 02,0.1,76382.558,4399,439.9,4399
11/09/2008 22,11/10/2008 03,0.1,73432.49,4409.5,440.95,4409.5
11/09/2008 23,11/10/2008 04,0.09,69700.629,4213.6,379.28,4213.6
11/09/2008 24,11/10/2008 05,0.09,65759.601,4436.4,399.3,4436.4
11/10/2008 01,11/10/2008 06,0.09,62454.871,4995.9,449.63,4995.9
11/10/2008 02,11/10/2008 07,0.09,61003.323,5049.3,454.49,5049.3
11/10/2008 03,11/10/2008 08,0.09,60591.682,5049.4,454.48,5049.4
11/10/2008 04,11/10/2008 09,0.09,61118.833,5053.5,454.85,5053.5
11/10/2008 05,11/10/2008 10,0.1,62830.819,5035.6,503.56,5035.6
11/10/2008 06,11/10/2008 11,0.1,68144.968,4986.9,498.69,4986.9
11/10/2008 07,11/10/2008 12,0.1,76523.458,4931.1,493.11,4931.1
11/10/2008 08,11/10/2008 13,0.19,81132.627,4964.3,943.22,4964.3
11/10/2008 09,11/10/2008 14,0.1,81805.327,4999.2,499.92,4999.2
11/10/2008 10,11/10/2008 15,0.1,82059.012,4997.3,499.73,4997.3
11/10/2008 11,11/10/2008 16,0.1,81962.355,5042.4,504.24,5042.4
11/10/2008 12,11/10/2008 17,0.1,81295.498,5043.8,504.38,5043.8
11/10/2008 13,11/10/2008 18,0.1,80353.16,5044.8,504.48,5044.8
11/10/2008 14,11/10/2008 19,0.1,79528.296,5041.2,504.12,5041.2
11/10/2008 15,11/10/2008 20,0.1,78739.311,5036.8,503.68,5036.8
11/10/2008 16,11/10/2008 21,0.1,78291.709,5028.4,502.84,5028.4
11/10/2008 17,11/10/2008 22,0.1,80290.666,4949.5,494.95,4949.5
11/10/2008 18,11/10/2008 23,0.1,86613.967,5031.2,503.12,5031.2
11/10/2008 19,11/11/2008 00,0.19,89200.283,5044.6,958.45,5044.6
11/10/2008 20,11/11/2008 01,0.1,88478.881,5044.2,504.42,5044.2
11/10/2008 21,11/11/2008 02,0.1,87020.64,5037.3,503.73,5037.3
11/10/2008 22,11/11/2008 03,0.1,83965.545,5106.2,510.62,5106.2
11/10/2008 23,11/11/2008 04,0.1,78830.416,5092.2,509.22,5092.2
11/10/2008 24,11/11/2008 05,0.1,73625.621,5063.6,506.36,5063.6
11/11/2008 01,11/11/2008 06,0.1,69840.709,5177.2,517.72,5177.2
11/11/2008 02,11/11/2008 07,0.1,68178.564,5186.6,518.66,5186.6
11/11/2008 03,11/11/2008 08,0.1,67451.086,5187,518.7,5187
11/11/2008 04,11/11/2008 09,0.1,67584.096,5205.2,520.52,5205.2
11/11/2008 05,11/11/2008 10,0.1,69213.782,5157.1,515.71,5157.1
11/11/2008 06,11/11/2008 11,0.1,73821.26,5150.4,515.04,5150.4
11/11/2008 07,11/11/2008 12,0.1,81164.203,5051,505.1,5051
11/11/2008 08,11/11/2008 13,0.19,85026.436,5197.8,987.6,5197.8
11/11/2008 09,11/11/2008 14,0.1,85268.393,5224.9,522.49,5224.9
11/11/2008 10,11/11/2008 15,0.1,84369.158,5230,523,5230
11/11/2008 11,11/11/2008 16,0.1,83582.501,5231.5,523.15,5231.5
11/11/2008 12,11/11/2008 17,0.1,82549.136,5206.4,520.64,5206.4
11/11/2008 13,11/11/2008 18,0.1,81211.037,5111,511.1,5111
11/11/2008 14,11/11/2008 19,0.1,80450.119,5098.9,509.89,5098.9
11/11/2008 15,11/11/2008 20,0.1,79769.402,5114.3,511.43,5114.3
11/11/2008 16,11/11/2008 21,0.09,79623.754,5112.7,460.19,5112.7
11/11/2008 17,11/11/2008 22,0.1,82101.2,5105,510.5,5105
11/11/2008 18,11/11/2008 23,0.19,88142.274,5222.7,992.31,5222.7
11/11/2008 19,11/12/2008 00,0.19,89255.54,5210.8,990.07,5210.8
11/11/2008 20,11/12/2008 01,0.1,88033.151,5125.3,512.53,5125.3
11/11/2008 21,11/12/2008 02,0.1,86113.553,5228.6,522.86,5228.6
11/11/2008 22,11/12/2008 03,0.1,82346.652,5125.5,512.55,5125.5
11/11/2008 23,11/12/2008 04,0.1,76880.167,5223.1,522.31,5223.1
11/11/2008 24,11/12/2008 05,0.1,71132.54,5183.8,518.38,5183.8
11/12/2008 01,11/12/2008 06,0.1,67129.658,5135.2,513.52,5135.2
