Preliminary Day-ahead Scheduling Reserve Summary,,,,,,
Month:,"April, 2009 ",Report Creation Timestamp (EPT):, 07/07/2010 01:50:56 PM,,,
EPT Hour Ending,GMT Hour Ending,DASRMCP ($/MWh),Total PJM RT Load (MWh),Total PJM Cleared DASR MWh,Total PJM DASR Credits ($),Total PJM Adjusted DASR Obligation (MWh)
04/09/2009 11,04/09/2009 15,0.05,76871.863,4924.2,246.32,4924.2
04/09/2009 12,04/09/2009 16,0.04,75704.506,4852.4,194.12,4852.4
04/09/2009 13,04/09/2009 17,0.04,74521.997,4911.4,196.47,4911.4
04/09/2009 14,04/09/2009 18,0.04,73479.208,4906.7,196.32,4906.7
04/09/2009 15,04/09/2009 19,0,72164.072,4816.3,0,4816.3
04/09/2009 16,04/09/2009 20,0,70783.524,4792.6,0,4792.6
04/09/2009 17,04/09/2009 21,0,69780.101,4816.5,0,4816.5
04/09/2009 18,04/09/2009 22,0,69083.804,4748.3,0,4748.3
04/09/2009 19,04/09/2009 23,0,68328.985,4693.1,0,4693.1
04/09/2009 20,04/10/2009 00,0,69651.571,4759.7,0,4759.7
04/09/2009 21,04/10/2009 01,0.04,73306.858,4807.3,192.33,4807.3
04/09/2009 22,04/10/2009 02,0.01,71908.176,4838.7,48.41,4838.7
04/09/2009 23,04/10/2009 03,0,67408.719,4647.2,0,4647.2
04/09/2009 24,04/10/2009 04,0,62269.726,4679.6,0,4679.6
04/10/2009 01,04/10/2009 05,0,58190.827,4639.9,0,4639.9
04/10/2009 02,04/10/2009 06,0,56006.641,4747.7,0,4747.7
04/10/2009 03,04/10/2009 07,0,55141.639,4617.4,0,4617.4
04/10/2009 04,04/10/2009 08,0,54764.76,4751.6,0,4751.6
04/10/2009 05,04/10/2009 09,0,55857.15,4751.3,0,4751.3
04/10/2009 06,04/10/2009 10,0,59072.229,4742.8,0,4742.8
04/10/2009 07,04/10/2009 11,0.05,64017.857,4738.4,237,4738.4
04/10/2009 08,04/10/2009 12,0.05,67765.435,4747.5,237.47,4747.5
04/10/2009 09,04/10/2009 13,0.05,70037.661,4747.4,237.5,4747.4
04/10/2009 10,04/10/2009 14,0.05,71363.697,4747.7,237.54,4747.7
04/10/2009 11,04/10/2009 15,0.05,71864.209,4743.5,237.3,4743.5
04/10/2009 12,04/10/2009 16,0.05,71430.25,4755.6,237.89,4755.6
04/10/2009 13,04/10/2009 17,0.05,70327.815,4756.4,237.95,4756.4
04/10/2009 14,04/10/2009 18,0.05,69312.338,4756.2,237.92,4756.2
04/10/2009 15,04/10/2009 19,0.04,68272.28,4747.2,189.88,4747.2
04/10/2009 16,04/10/2009 20,0.04,67214.151,4746.8,189.88,4746.8
04/10/2009 17,04/10/2009 21,0.04,66996.41,4751.7,190.07,4751.7
04/10/2009 18,04/10/2009 22,0.04,66950.249,4586.2,183.45,4586.2
04/10/2009 19,04/10/2009 23,0.04,66710.641,4565.5,182.63,4565.5
04/10/2009 20,04/11/2009 00,0.04,67581.477,4655.5,186.26,4655.5
04/10/2009 21,04/11/2009 01,0.05,69782.477,4730.4,236.59,4730.4
04/10/2009 22,04/11/2009 02,0.04,68362.492,4598.1,183.89,4598.1
04/10/2009 23,04/11/2009 03,0.04,64855.614,4490.6,179.6,4490.6
04/10/2009 24,04/11/2009 04,0,60546.038,4392.4,0,4392.4
04/11/2009 01,04/11/2009 05,0,56569.831,4135.1,0,4135.1
04/11/2009 02,04/11/2009 06,0,54143.718,4207.2,0,4207.2
04/11/2009 03,04/11/2009 07,0,52900.821,4207.6,0,4207.6
04/11/2009 04,04/11/2009 08,0,52150.111,4209.1,0,4209.1
04/11/2009 05,04/11/2009 09,0,52290.632,4211.5,0,4211.5
04/11/2009 06,04/11/2009 10,0,53462.183,4011.2,0,4011.2
04/11/2009 07,04/11/2009 11,0,56106.077,4197.9,0,4197.9
04/11/2009 08,04/11/2009 12,0,58813.57,4197.2,0,4197.2
04/11/2009 09,04/11/2009 13,0.01,62899.573,4204.7,42.08,4204.7
04/11/2009 10,04/11/2009 14,0.04,66470.645,4226.6,169.05,4226.6
04/11/2009 11,04/11/2009 15,0.04,68121.818,4234.3,169.34,4234.3
04/11/2009 12,04/11/2009 16,0.04,68424.137,4229.2,169.14,4229.2
04/11/2009 13,04/11/2009 17,0.04,67625.403,4214.8,168.54,4214.8
04/11/2009 14,04/11/2009 18,0,66458.808,4202.5,0,4202.5
04/11/2009 15,04/11/2009 19,0,65049.244,4197.8,0,4197.8
04/11/2009 16,04/11/2009 20,0,64062.216,4195.1,0,4195.1
04/11/2009 17,04/11/2009 21,0,63356.492,4196.4,0,4196.4
04/11/2009 18,04/11/2009 22,0,63161.411,4197,0,4197
04/11/2009 19,04/11/2009 23,0,63041.826,4199.2,0,4199.2
04/11/2009 20,04/12/2009 00,0,64829.212,4208.9,0,4208.9
04/11/2009 21,04/12/2009 01,0.05,68930.683,4247.8,212.5,4247.8
04/11/2009 22,04/12/2009 02,0.04,69107.769,4211.3,168.44,4211.3
04/11/2009 23,04/12/2009 03,0,66501.732,4210.1,0,4210.1
04/11/2009 24,04/12/2009 04,0,62991.104,4202.4,0,4202.4
04/12/2009 01,04/12/2009 05,0,59513.616,4207.2,0,4207.2
04/12/2009 02,04/12/2009 06,0,57480.594,4269.6,0,4269.6
04/12/2009 03,04/12/2009 07,0.01,56372.957,4267.7,42.7,4267.7
04/12/2009 04,04/12/2009 08,0,56152.633,4170.9,0,4170.9
04/12/2009 05,04/12/2009 09,0,56792.028,4273.6,0,4273.6
04/12/2009 06,04/12/2009 10,0,58604.392,4262.1,0,4262.1
04/12/2009 07,04/12/2009 11,0,60999.534,4265,0,4265
04/12/2009 08,04/12/2009 12,0.04,63078.584,4266,170.65,4266
04/12/2009 09,04/12/2009 13,0.04,65255.212,4294.2,171.8,4294.2
04/12/2009 10,04/12/2009 14,0.05,66178.943,4294.4,214.88,4294.4
04/12/2009 11,04/12/2009 15,0.05,65537.777,4293.9,214.86,4293.9
04/12/2009 12,04/12/2009 16,0.04,64448.501,4294.4,171.79,4294.4
04/12/2009 13,04/12/2009 17,0.04,63319.448,4268.2,170.75,4268.2
04/12/2009 14,04/12/2009 18,0.04,61479.743,4268.1,170.67,4268.1
04/12/2009 15,04/12/2009 19,0.01,59682.485,4267.9,42.71,4267.9
04/12/2009 16,04/12/2009 20,0.01,58187.696,4268,42.71,4268
04/12/2009 17,04/12/2009 21,0.01,57347.885,4268,42.7,4268
04/12/2009 18,04/12/2009 22,0.01,57107.69,4268,42.7,4268
04/12/2009 19,04/12/2009 23,0.01,57897.892,4268,42.69,4268
04/12/2009 20,04/13/2009 00,0.05,60900.022,4277,213.99,4277
04/12/2009 21,04/13/2009 01,0.05,66792.141,4277,213.89,4277
04/12/2009 22,04/13/2009 02,0.05,67054.075,4276.7,213.94,4276.7
04/12/2009 23,04/13/2009 03,0.04,64539.414,4240.4,169.61,4240.4
04/12/2009 24,04/13/2009 04,0.01,60979.063,4124.9,41.27,4124.9
04/13/2009 01,04/13/2009 05,0,58502.878,4367.1,0,4367.1
04/13/2009 02,04/13/2009 06,0,57313.392,4370.6,0,4370.6
04/13/2009 03,04/13/2009 07,0,57006.137,4515.7,0,4515.7
04/13/2009 04,04/13/2009 08,0,57536.5,4513.5,0,4513.5
04/13/2009 05,04/13/2009 09,0,59502.957,4428.9,0,4428.9
04/13/2009 06,04/13/2009 10,0,64105.875,4506.3,0,4506.3
04/13/2009 07,04/13/2009 11,0.05,71147.244,4525.6,226.39,4525.6
04/13/2009 08,04/13/2009 12,0.05,75790.553,4586.6,229.45,4586.6
04/13/2009 09,04/13/2009 13,0.05,77878.655,4585.1,229.35,4585.1
04/13/2009 10,04/13/2009 14,0.05,78987.598,4598.4,230.04,4598.4
04/13/2009 11,04/13/2009 15,0.05,79245.797,4598.1,230,4598.1
04/13/2009 12,04/13/2009 16,0.05,78872.935,4586.7,229.47,4586.7
04/13/2009 13,04/13/2009 17,0.04,77920.565,4528,181.14,4528
04/13/2009 14,04/13/2009 18,0.04,76865.585,4612.4,184.49,4612.4
04/13/2009 15,04/13/2009 19,0.04,75651.377,4611.9,184.47,4611.9
04/13/2009 16,04/13/2009 20,0.04,74413.697,4601.3,184.07,4601.3
04/13/2009 17,04/13/2009 21,0.04,74014.807,4600.4,183.97,4600.4
04/13/2009 18,04/13/2009 22,0.04,74558.818,4599.6,183.96,4599.6
04/13/2009 19,04/13/2009 23,0,75163.357,4583.4,0,4583.4
04/13/2009 20,04/14/2009 00,0.05,77318.549,4567.9,228.52,4567.9
04/13/2009 21,04/14/2009 01,0.05,79362.957,4571.9,228.67,4571.9
04/13/2009 22,04/14/2009 02,0.04,76477.769,4502.1,180.1,4502.1
04/13/2009 23,04/14/2009 03,0,71213.51,4434,0,4434
04/13/2009 24,04/14/2009 04,0,65558.546,4393.6,0,4393.6
04/14/2009 01,04/14/2009 05,0,61456.787,4478.5,0,4478.5
04/14/2009 02,04/14/2009 06,0,59196.869,4623,0,4623
04/14/2009 03,04/14/2009 07,0,58092.954,4682.1,0,4682.1
04/14/2009 04,04/14/2009 08,0,57873.771,4684.1,0,4684.1
04/14/2009 05,04/14/2009 09,0,59015.925,4678.3,0,4678.3
04/14/2009 06,04/14/2009 10,0,63321.841,4666,0,4666
04/14/2009 07,04/14/2009 11,0.04,71075.976,4738.5,189.55,4738.5
04/14/2009 08,04/14/2009 12,0.04,76087.109,4759,190.34,4759
04/14/2009 09,04/14/2009 13,0.04,78152.013,4769.9,190.82,4769.9
04/14/2009 10,04/14/2009 14,0.04,78933.96,4747.9,189.92,4747.9
04/14/2009 11,04/14/2009 15,0.04,79626.601,4785.7,191.4,4785.7
04/14/2009 12,04/14/2009 16,0.04,79512.196,4793.8,191.79,4793.8
04/14/2009 13,04/14/2009 17,0.04,78994.76,4773.1,190.98,4773.1
04/14/2009 14,04/14/2009 18,0.04,78433.55,4759,190.42,4759
04/14/2009 15,04/14/2009 19,0.04,77493.375,4745.3,189.86,4745.3
04/14/2009 16,04/14/2009 20,0.04,76693.976,4743.2,189.79,4743.2
04/14/2009 17,04/14/2009 21,0.01,76665.509,4742.9,47.45,4742.9
04/14/2009 18,04/14/2009 22,0,77325.366,4736.7,0,4736.7
04/14/2009 19,04/14/2009 23,0,77617.887,4734.1,0,4734.1
04/14/2009 20,04/15/2009 00,0.04,78811.665,4731.1,189.23,4731.1
04/14/2009 21,04/15/2009 01,0.04,79805.924,4782.2,191.31,4782.2
04/14/2009 22,04/15/2009 02,0.04,77292.846,4753.2,190.14,4753.2
04/14/2009 23,04/15/2009 03,0,72271.944,4736.8,0,4736.8
04/14/2009 24,04/15/2009 04,0,66601.842,4742.2,0,4742.2
04/15/2009 01,04/15/2009 05,0,62346.437,4834.3,0,4834.3
04/15/2009 02,04/15/2009 06,0,59972.063,4854.1,0,4854.1
04/15/2009 03,04/15/2009 07,0,58732.973,4903.2,0,4903.2
04/15/2009 04,04/15/2009 08,0,58536.552,4904.8,0,4904.8
04/15/2009 05,04/15/2009 09,0,59717.604,4903.4,0,4903.4
04/15/2009 06,04/15/2009 10,0,63970.352,4893.5,0,4893.5
